Frequency,Magnitude
0.0,712.0
0.2,3.098065865407438
0.4,3.9516223073820607
0.6000000000000001,3.6735831755556494
0.8,2.5804084255120623
1.0,2.487265846769676
1.2000000000000002,3.582622633758872
1.4000000000000001,3.9734628342697484
1.6,3.193641692146278
1.8,2.2535068861597987
2.0,2.949827996932683
2.2,3.894743597126622
2.4000000000000004,3.7323035988761615
2.6,2.624936467359746
2.8000000000000003,2.3185762701867825
3.0,3.4358482200266676
3.2,3.9648669300268393
3.4000000000000004,3.265940288699218
3.6,2.161660018287742
3.8000000000000003,2.7098985849205444
4.0,3.7855121082811647
4.2,3.7769729439763657
4.4,2.659531839357481
4.6000000000000005,2.043205194509873
4.800000000000001,3.1897110343828223
5.0,3.9235908930891803
5.2,3.362991724664215
5.4,2.0577832743660456
5.6000000000000005,2.3127918466267157
5.800000000000001,3.5891139823276537
6.0,3.847836329756203
6.2,2.803057888479379
6.4,1.6779301470594887
6.6000000000000005,2.765551703151122
6.800000000000001,3.8634793623136234
7.0,3.6392093874866167
7.2,2.231653274677989
7.4,1.7062418635277015
7.6000000000000005,3.271536456262059
7.800000000000001,4.120979271640423
8.0,3.4963719263724355
8.200000000000001,1.855925266532345
8.4,2.1393691115034326
8.6,3.9809794126184626
8.8,4.70283706503974
9.0,3.7674644075621804
9.200000000000001,2.007344088452216
9.4,3.1956423205086146
9.600000000000001,5.500492798732938
9.8,6.2676179623436346
10.0,4.9451959568128725
10.200000000000001,3.350582071906906
10.4,5.927279014174146
10.600000000000001,9.202886374310156
10.8,10.081112648863899
11.0,8.158468560901618
11.200000000000001,7.860151770919985
11.4,13.560099759585842
11.600000000000001,19.397457793839923
11.8,21.116125720359147
12.0,19.72238884757864
12.200000000000001,27.073206441076252
12.4,49.73171860533151
12.600000000000001,83.89003690131463
12.8,153.92079850311805
13.0,1941.0791295490824
13.200000000000001,142.9123724596971
13.4,90.7824243680885
13.600000000000001,62.3510493688799
13.8,41.605188732147944
14.0,33.20324564040823
14.200000000000001,33.575237960938644
14.4,32.525430048812964
14.600000000000001,27.57841195175315
14.8,22.653459315847773
15.0,22.00470638118841
15.200000000000001,23.350366216806485
15.4,22.672263589206416
15.600000000000001,19.940225713071115
15.8,18.117783041107526
16.0,18.79125211106143
16.2,19.684200951208542
16.400000000000002,18.875200658550124
16.6,17.149025511377374
16.8,16.62833014740322
17.0,17.541885574479547
17.2,18.040992699336655
17.400000000000002,17.238207499634367
17.6,16.15970623081703
17.8,16.258240770464102
18.0,17.18117013586903
18.2,17.465975310471432
18.400000000000002,16.722884168116916
18.6,16.047982096522784
18.8,16.519833530914106
19.0,17.492823070508937
19.200000000000003,17.65181327404205
