Time,Magnitude
5.060000000000039e-05,0
5.070000000000039e-05,0
5.0800000000000395e-05,0
5.09000000000004e-05,0
5.10000000000004e-05,1
5.11000000000004e-05,1
5.1200000000000404e-05,1
5.130000000000041e-05,1
5.140000000000041e-05,1
5.150000000000041e-05,0
5.1600000000000414e-05,0
5.1700000000000416e-05,0
5.180000000000042e-05,0
5.190000000000042e-05,0
5.2000000000000424e-05,1
5.2100000000000426e-05,1
5.220000000000043e-05,1
5.230000000000043e-05,1
5.2400000000000433e-05,1
5.2500000000000436e-05,0
5.260000000000044e-05,0
5.270000000000044e-05,0
5.280000000000044e-05,0
5.2900000000000446e-05,0
5.300000000000045e-05,1
5.310000000000045e-05,1
5.320000000000045e-05,1
5.3300000000000455e-05,1
5.340000000000046e-05,1
5.350000000000046e-05,0
5.360000000000046e-05,0
5.3700000000000465e-05,0
5.380000000000047e-05,0
5.390000000000047e-05,0
5.400000000000047e-05,1
5.4100000000000475e-05,1
5.420000000000048e-05,1
5.430000000000048e-05,1
5.440000000000048e-05,1
5.4500000000000484e-05,0
5.460000000000049e-05,0
5.470000000000049e-05,0
5.480000000000049e-05,0
5.4900000000000494e-05,0
5.50000000000005e-05,1
5.51000000000005e-05,1
5.52000000000005e-05,1
5.5300000000000504e-05,1
5.5400000000000506e-05,1
5.550000000000051e-05,0
5.560000000000051e-05,0
5.5700000000000514e-05,0
5.5800000000000516e-05,0
5.590000000000052e-05,0
5.600000000000052e-05,1
5.610000000000052e-05,1
5.6200000000000526e-05,1
5.630000000000053e-05,1
5.640000000000053e-05,1
5.650000000000053e-05,0
5.6600000000000536e-05,0
5.670000000000054e-05,0
5.680000000000054e-05,0
5.690000000000054e-05,0
5.7000000000000545e-05,1
5.710000000000055e-05,1
5.720000000000055e-05,1
5.730000000000055e-05,1
5.7400000000000555e-05,1
5.750000000000056e-05,0
5.760000000000056e-05,0
5.770000000000056e-05,0
5.7800000000000565e-05,0
5.790000000000057e-05,0
5.800000000000057e-05,1
5.810000000000057e-05,1
5.8200000000000574e-05,1
5.830000000000058e-05,1
5.840000000000058e-05,1
5.850000000000058e-05,0
5.8600000000000584e-05,0
5.8700000000000587e-05,0
5.880000000000059e-05,0
5.890000000000059e-05,0
5.9000000000000594e-05,1
5.9100000000000596e-05,1
5.92000000000006e-05,1
5.93000000000006e-05,1
5.9400000000000604e-05,1
5.9500000000000606e-05,0
5.960000000000061e-05,0
5.970000000000061e-05,0
5.980000000000061e-05,0
5.9900000000000616e-05,0
6.000000000000062e-05,1
6.010000000000062e-05,1
6.020000000000062e-05,1
6.0300000000000625e-05,1
6.040000000000063e-05,1
6.050000000000063e-05,0
6.060000000000063e-05,0
6.0700000000000635e-05,0
6.080000000000064e-05,0
6.090000000000064e-05,0
6.100000000000064e-05,1
6.110000000000064e-05,1
6.120000000000065e-05,1
6.130000000000065e-05,1
6.140000000000065e-05,1
6.150000000000065e-05,0
6.160000000000066e-05,0
6.170000000000066e-05,0
6.180000000000066e-05,0
6.190000000000066e-05,0
6.200000000000067e-05,1
6.210000000000067e-05,1
6.220000000000067e-05,1
6.230000000000067e-05,1
6.240000000000068e-05,1
6.250000000000068e-05,0
6.260000000000068e-05,0
6.270000000000068e-05,0
6.280000000000069e-05,0
6.290000000000069e-05,0
6.300000000000069e-05,1
6.31000000000007e-05,1
6.32000000000007e-05,1
6.33000000000007e-05,1
6.34000000000007e-05,1
6.35000000000007e-05,0
6.36000000000007e-05,0
6.370000000000071e-05,0
6.380000000000071e-05,0
6.390000000000071e-05,0
6.400000000000072e-05,1
6.410000000000072e-05,1
6.420000000000072e-05,1
6.430000000000072e-05,1
6.440000000000073e-05,1
6.450000000000073e-05,0
6.460000000000073e-05,0
6.470000000000073e-05,0
6.480000000000073e-05,0
6.490000000000074e-05,0
6.500000000000074e-05,1
6.510000000000074e-05,1
6.520000000000074e-05,1
6.530000000000075e-05,1
6.540000000000075e-05,1
6.550000000000075e-05,0
6.560000000000075e-05,0
6.570000000000076e-05,0
6.580000000000076e-05,0
6.590000000000076e-05,0
6.600000000000076e-05,1
6.610000000000077e-05,1
6.620000000000077e-05,1
6.630000000000077e-05,1
6.640000000000077e-05,1
6.650000000000078e-05,0
6.660000000000078e-05,0
6.670000000000078e-05,0
6.680000000000078e-05,0
6.690000000000079e-05,0
6.700000000000079e-05,1
6.710000000000079e-05,1
6.720000000000079e-05,1
6.73000000000008e-05,1
6.74000000000008e-05,1
