Frequency,Magnitude
0.0,2573.236551533323
500.0,33.233482208683455
1000.0,33.52212175999547
1500.0,34.003266544181606
2000.0,34.98485520172994
2500.0,36.325761921028075
3000.0,37.758163636723225
3500.0,39.868801271837
4000.0,43.36885986234031
4500.0,48.125687683358855
5000.0,54.67869838642572
5500.0,66.11895845754401
6000.0,89.03604267936146
6500.0,147.7317004194742
7000.0,623.2381649289413
7500.0,237.91845331721208
8000.0,95.92754731705558
8500.0,60.423410518610595
9000.0,46.22873260121187
9500.0,39.17852478562617
10000.0,35.49819189161675
10500.0,34.606197967616446
11000.0,35.79579698016844
11500.0,38.40014135271132
12000.0,42.83264692391738
12500.0,50.634958742230225
13000.0,65.41497588033428
13500.0,99.62661675101009
14000.0,254.09481190342427
14500.0,313.8737087957218
15000.0,87.13557519794908
15500.0,47.110970751475854
16000.0,30.686901365606005
16500.0,22.154528962266244
17000.0,16.889410252999998
17500.0,13.233324041926206
18000.0,10.99424999077508
18500.0,9.993520940488699
19000.0,9.648383647159292
19500.0,9.783386523351492
20000.0,11.03302331206698
20500.0,15.394091064326846
21000.0,32.91217359992306
21500.0,209.9972570030087
22000.0,31.02668431588626
22500.0,20.419142982369937
23000.0,16.841186754034894
23500.0,15.820152527578681
24000.0,16.289805118956444
24500.0,16.758017396537547
25000.0,17.05189925115968
25500.0,18.387835948449922
26000.0,20.921521093960084
26500.0,23.663714619974794
27000.0,27.611386489659
27500.0,36.63880315164723
28000.0,61.4570328989317
28500.0,420.1384692781288
29000.0,59.51651609054075
29500.0,22.35432015084463
30000.0,11.508244474822458
30500.0,8.941773321467359
31000.0,8.384838159319814
31500.0,8.523720034239279
32000.0,10.354377896941315
32500.0,12.189889546982041
33000.0,13.599600647650135
33500.0,16.10850618819258
34000.0,19.954460053291225
34500.0,25.067908507632943
35000.0,36.30454995191224
35500.0,98.7780414786933
36000.0,53.077419461318335
36500.0,10.832178207128958
37000.0,2.1051264110131536
37500.0,6.481884953374018
38000.0,10.394880261087513
38500.0,12.893896329479642
39000.0,16.11795146243032
39500.0,20.43969023526388
40000.0,24.814336219653686
40500.0,30.055039154939212
41000.0,38.79310622854845
41500.0,53.62133364465883
42000.0,83.70907618282851
42500.0,197.49591950652575
43000.0,483.6466641077073
43500.0,104.41428159716848
44000.0,57.006176088898854
44500.0,37.94288473332916
45000.0,27.285242299252182
45500.0,21.230355624079973
46000.0,16.980982981955965
46500.0,12.766395269584324
47000.0,9.96084824592341
47500.0,9.07353793716591
48000.0,6.978752597227464
48500.0,3.2665215980376745
49000.0,2.9368273515151397
49500.0,7.403758845289805
50000.0,561.2901812024506
50500.0,4.909204985166417
51000.0,3.356260610853007
51500.0,5.655595666359093
52000.0,4.815019706331929
52500.0,6.068281468538142
53000.0,9.230867279952045
53500.0,11.299020377645244
54000.0,13.070970772836585
54500.0,16.899482214395515
55000.0,22.45732028739967
55500.0,29.94460030259102
56000.0,44.11910441794488
56500.0,81.0439552099135
57000.0,370.0564650041176
57500.0,149.90391388240414
58000.0,62.79674220864505
58500.0,39.34379105066817
59000.0,28.745918943233594
59500.0,22.50819640561562
60000.0,17.66778901377896
60500.0,14.25794385872335
61000.0,12.222414615236326
61500.0,9.80952769106745
62000.0,6.776372960966982
62500.0,4.631202352767649
63000.0,4.279429061710112
63500.0,8.53577714935952
64000.0,38.195406253376376
64500.0,69.16713640421106
65000.0,25.767142358595343
65500.0,17.29270178418125
66000.0,13.350926649260954
66500.0,11.538107305272273
67000.0,10.032835692015148
67500.0,8.210600680704758
68000.0,7.139103530736915
68500.0,6.663181435890039
69000.0,5.333427201554893
69500.0,4.100700795862095
70000.0,5.186716556905488
70500.0,7.4547969408050525
71000.0,19.68598647756592
71500.0,156.92197584485717
72000.0,23.559541690168622
72500.0,15.245383606622504
73000.0,12.03813711986371
73500.0,9.442754587184144
74000.0,8.217447267115974
74500.0,8.032871965729116
75000.0,7.363355700439844
75500.0,6.265753338555271
76000.0,6.0374451187557545
76500.0,6.466642311599341
77000.0,6.481543256674606
77500.0,6.622800949124025
78000.0,9.783162917031646
78500.0,64.47105174443834
79000.0,9.39577504625753
79500.0,4.80753335851537
80000.0,3.65340847354756
80500.0,2.841279668139699
81000.0,2.393992819938779
81500.0,2.5363166552940366
82000.0,2.8921065320964217
82500.0,2.9317583426028007
83000.0,2.966488237048066
83500.0,3.8281795070402738
84000.0,5.352143584535949
84500.0,7.300330154811853
85000.0,12.06328917257182
85500.0,41.18174130962736
86000.0,30.541768706603523
86500.0,11.061227089463651
87000.0,6.934277658435666
87500.0,4.594891337402889
88000.0,3.1113497736149807
88500.0,2.643780146978666
89000.0,2.318455161465024
89500.0,1.4146507612838186
90000.0,0.7489032357462848
90500.0,0.9462082809932978
91000.0,0.9609508229361754
91500.0,0.971594877307615
92000.0,2.3648888060477944
92500.0,6.935699903524271
93000.0,19.979801764988004
93500.0,4.857466565763932
94000.0,2.838028811936063
94500.0,2.1666808060701332
95000.0,1.7505851785564321
95500.0,1.2823501629493144
96000.0,1.0392749244126165
96500.0,1.1413940453561415
97000.0,0.925931009035528
97500.0,0.6509977896017264
98000.0,0.49759646607795505
98500.0,1.2460805435267754
99000.0,0.6466723045213894
99500.0,1.74402268836852
100000.0,97.03601968548881
100500.0,1.165114999360414
101000.0,0.7810316887456431
101500.0,1.1476844579190495
102000.0,0.8171346072060609
102500.0,1.0605962727515634
103000.0,1.4633031371014493
103500.0,1.66509095470274
104000.0,2.1129136322594295
104500.0,2.9134499729575554
105000.0,3.639487053011657
105500.0,4.868431944658125
106000.0,7.8193416073228175
106500.0,15.02320792867003
107000.0,70.13735695143676
107500.0,30.22857366781516
108000.0,13.208093177091664
108500.0,8.757646450677846
109000.0,7.301877583335389
109500.0,6.4106355640721295
110000.0,5.347797049195671
110500.0,5.0015206808032335
111000.0,5.459202959457944
111500.0,5.6608753547705195
112000.0,5.6201961994003895
112500.0,6.473718467010481
113000.0,8.601479098966655
113500.0,12.633122053577999
114000.0,30.765765347326216
114500.0,37.39030837987639
115000.0,9.950852202624084
115500.0,5.12818283846279
116000.0,3.316575757841926
116500.0,2.2266755797243225
117000.0,1.373268932889307
117500.0,0.826914509773018
118000.0,0.5431664205226063
118500.0,0.37928964309616964
119000.0,0.47927912831420194
119500.0,0.7506085271762016
120000.0,1.0739772223150927
120500.0,1.7262027467099572
121000.0,3.8494401080851395
121500.0,20.95600904256336
122000.0,2.5791521632219325
122500.0,1.3813239973270384
123000.0,0.7979803906001608
123500.0,0.9087805999985495
124000.0,1.4465483417298513
124500.0,1.5014144135231964
125000.0,1.3347181179560619
125500.0,1.7815175033263841
126000.0,2.5993765218986873
126500.0,2.880284243939369
127000.0,3.2207076716419
127500.0,4.994032203701818
128000.0,9.729170442127788
128500.0,69.45290880700628
129000.0,11.574084870417414
129500.0,4.831189612998729
130000.0,2.6019102857030476
130500.0,2.39445389013617
131000.0,2.275895750552723
131500.0,1.5561122751131715
132000.0,1.5897280303756869
132500.0,2.0525309224712025
133000.0,2.0627553009252018
133500.0,2.189448605054787
134000.0,2.9517199267895053
134500.0,3.6675815917131875
135000.0,5.07082275035182
135500.0,14.519522065709937
136000.0,7.895056923478412
136500.0,1.9567804895120446
137000.0,1.019336593204476
137500.0,1.0189054965321194
138000.0,1.6735105701500288
138500.0,1.8492451470072693
139000.0,2.356055947814171
139500.0,3.315632825465534
140000.0,4.088791418776983
140500.0,4.715289389153829
141000.0,6.338153984626932
141500.0,9.303314573696655
142000.0,14.61571607031402
142500.0,34.95097306898739
143000.0,88.13841048428668
143500.0,19.6329009438543
144000.0,11.092379807860956
144500.0,7.674182324447391
145000.0,5.567937284255738
145500.0,4.573814652197797
146000.0,3.9573159195152283
146500.0,2.9656584892046274
147000.0,2.3675963714644688
147500.0,2.6489890418237185
148000.0,2.217719230312166
148500.0,0.682741048282453
149000.0,1.0029743714297725
149500.0,4.345921724078509
150000.0,112.52414272546639
150500.0,4.046728458958429
151000.0,0.4585847481422795
151500.0,1.1360408827870985
152000.0,0.46912929021588046
152500.0,0.6895677110716428
153000.0,1.4669802588233396
153500.0,1.8613161072533628
154000.0,1.8344124500006045
154500.0,2.779973833017421
